benchmark,original_2q,ours_2q,ours_fid,qiskit_2q,qiskit_fid,guoq_2q,guoq_fid,quartz_2q,quartz_fid,tket_2q,tket_fid,queso_2q,queso_fid
sym6_316,123,92,0.3426495225,123,0.2405834203669962,95,0.3310042002632354,112,0.2730263432475346,123,0.2404481746378163,105,0.2949701602301539
tof_5,42,36,0.6565023359,42,0.6138436391821805,36,0.6577956729531197,38,0.6428060093859738,40,0.6263942922086605,36,0.6577956729531197
wim_266,427,290,0.0341198836,427,0.0071403558404217,323,0.0232204680370058,427,0.0070585182322284,427,0.0071403558404217,361,0.0149851250235585
heisenberg_step_40_4,720,479,0.0026994539,480,0.0036081891085314,480,0.0026379348210521,712,0.0001820633424838,400,0.0089812517098591,480,0.0026379348210521
cm152a_212,532,404,0.0090497545,532,0.0021228381610073,413,0.0081833302582779,532,0.0020820522539478,531,0.0021408156482997,481,0.0037372591857227
rd53_130,448,338,0.0195228684,448,0.0055849090364207,338,0.019402483045735,448,0.0054729883935482,448,0.0055849090364207,396,0.0099434220326999
sf_276,336,243,0.0588151313,336,0.0204325763591044,251,0.0536345614756768,336,0.0203752092828829,336,0.0204325763591044,311,0.0268603835668428
ex2_227,275,212,0.0847621427,275,0.0414586236691538,204,0.0929232001281909,275,0.0413422232709726,275,0.0414586236691538,241,0.0606623319657735
ham15-low,236,199,0.0994369183,236,0.0651706531170866,196,0.1033412608577936,235,0.0659261349972745,225,0.0738135672292209,204,0.0942387288600676
heisenberg_step_5_4,90,60,0.4791780924,60,0.494090410219953,60,0.475821786698071,60,0.4938126536824949,50,0.5542934417923234,60,0.475821786698071
alu-v2_31,198,126,0.2302605809,198,0.1010147462286708,144,0.187119840591445,191,0.1094716001846754,197,0.1022144802020341,170,0.1386678382110068
gf2^6_mult,221,206,0.0924804456,221,0.0778195809966742,206,0.0925064508917873,221,0.0778195809966742,221,0.0778195809966742,221,0.0778195809966742
barenco_tof_10,192,148,0.1793432512,192,0.1083388809146584,149,0.1778372172849082,192,0.1083388809146584,192,0.1083388809146584,164,0.1496027314993953
mod8-10_178,152,103,0.3006627982,152,0.1719381872340926,111,0.2747971348659249,151,0.1738824618816671,152,0.1715518878907876,127,0.2285196379016807
decod24-enable_126,149,107,0.2875199954,149,0.1781374722794506,111,0.2749517009753888,145,0.1865423543862345,149,0.1780373309966642,130,0.2208773135508809
gf2^5_mult,154,147,0.1826506013,154,0.1686353535633727,144,0.1892361257789558,154,0.1686353535633727,154,0.1686353535633727,154,0.1686353535633727
rd53_311,124,87,0.3625679578,124,0.237625934155098,95,0.3302605219259805,121,0.2455714259133911,123,0.2395709287054236,103,0.3011704281583641
mini-alu_167,126,88,0.3583123465,126,0.2322109809192054,95,0.3311903813581579,122,0.2431671592771471,126,0.2322109809192054,108,0.2851055478975539
4gt12-v0_86,116,75,0.4182246332,114,0.2674054843539647,87,0.3637932889423401,108,0.2865520782561484,110,0.2800222097511723,95,0.3317495532101775
4gt4-v0_78,109,80,0.39413887,107,0.289873894019814,79,0.399156522347582,98,0.3215577515465858,104,0.300072178234993,89,0.3557032305334602
4_49_16,99,65,0.4687881323,97,0.3250111120203217,79,0.399156522347582,92,0.3441944115571083,96,0.3283168902080221,84,0.376804013364423
rc_adder_6,93,75,0.4158794915,81,0.3880916080648987,86,0.3680105128734267,87,0.3637932889423401,81,0.385806945629272,81,0.3898413798577032
4gt12-v0_88,86,63,0.4798547498,86,0.3692542376248531,63,0.4805297984730127,80,0.3956933398427604,85,0.373534766856423,70,0.4432834627681434
4gt4-v0_80,79,55,0.5262039872,79,0.4003929184742635,58,0.5090354572666612,73,0.4289409752946452,79,0.4003929184742635,68,0.4536204382704744
one-two-three-v0_98,65,47,0.5780043441,65,0.4709017369715996,47,0.5788174673794114,54,0.5345535956100032,62,0.4874689058341035,48,0.5721844968805416
